OBJECTID,ASSETID,ID,Location,TOOLTIP,NLA_URL
1762,22799,14283,LOS ANGELES ST  N/O  TEMPLE  ST,LOS ANGELES ST  N/O  TEMPLE  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=14283
1763,22813,11670,CASHIO  ST  AT  BEDFORD  ST,CASHIO  ST  AT  BEDFORD  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=11670
1764,22815,11722,SATURN  ST   AT   ORANGE  GROVE  AV,SATURN  ST   AT   ORANGE  GROVE  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=11722
1765,20325,12547,RIMPAU  BL   AT   9TH  ST,RIMPAU  BL   AT   9TH  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=12547
1766,20326,12578,VERMONT  AV  AT  OLYMPIC  BL,VERMONT  AV  AT  OLYMPIC  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=12578
1767,20343,22272,STRATHMORE  DR  AT  DEVON  AV,STRATHMORE  DR  AT  DEVON  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=22272
1768,20345,21731,CESAR  E  CHAVEZ  AV  AT  BOYLE  AV,CESAR  E  CHAVEZ  AV  AT  BOYLE  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=21731
1769,20352,22331,LINDBROOK  DR  AT  THAYER  AV,LINDBROOK  DR  AT  THAYER  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=22331
1770,20353,19137,LUCILE ST AT INGLEWOOD BL,LUCILE ST AT INGLEWOOD BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=19137
1771,20360,22448,MARTEL  AV  AT  MELROSE  AV,MARTEL  AV  AT  MELROSE  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=22448
1772,21146,49005,BURBANK  BL  AT  VAN NUYS  BL,BURBANK  BL  AT  VAN NUYS  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=49005
1773,21147,49006,BURBANK  BL  AT  VAN NUYS  BL,BURBANK  BL  AT  VAN NUYS  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=49006
1774,21150,50334,VALERIO  ST  AT  IRONDALE  AV,VALERIO  ST  AT  IRONDALE  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=50334
1775,21161,51425,OSCEOLA  ST  AT  NEWGARD  AV,OSCEOLA  ST  AT  NEWGARD  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=51425
