OBJECTID,healthind,boeint_fkey,calenvscreen,GlobalID
193,50.694204,96207,57.6729852381,90d12029-26bf-4b74-bfc1-f4249781199a
194,48.713462,96208,49.8206007542,abac4f98-bec2-4c84-867e-a964a164573e
195,62.039446,96209,54.9242502986,4e60cbd5-328e-4602-857b-3de55d853541
196,52.386992,96210,31.4842392239,56b512c5-4d9e-46f3-bf4b-7374f2966fe1
197,51.257971,96211,37.6970273639,7d8c82cb-8096-484a-875e-6ce0cfb98d87
198,53.895496,96213,37.3637088404,8a2d356a-8c7e-43ce-a636-44c9e9a601f0
199,54.768663,96214,51.323419968,38bb8f82-ba9b-430f-9902-561dc6c8b012
200,67.681977,96216,60.2464279085,014bd88e-eb8a-4c3e-a5b8-713ac4e91268
201,60.750658,96217,54.4138930531,24a65f86-10a5-4a8e-a1e5-3aa9df10b35e
202,63.856323,96218,54.4138930531,4e2efc1f-1e2b-4700-a889-20d8c1f5af3c
203,50.664755,96223,36.4725282454,d5f401a8-6d3f-4a1b-b162-265aebf5dfca
204,53.111434,96224,41.7075529164,7b618610-f938-4e65-b9b8-1caad452bdc4
205,51.257971,96225,30.6115564899,bf68459b-9fbe-4cb1-b268-d2c5971497ca
206,51.257971,96226,30.6115564899,b7fb1166-9fdc-4e56-848c-8cfadee551a6
207,54.37674,96227,41.6635995029,d2e77535-c398-4f95-8aa2-b5faa8679560
208,52.618612,96228,35.1191064548,cb275cc6-3a3f-4e2f-8e69-be643e8ff6d5
209,53.633181,96230,39.1169284262,7ff4b9b8-58b1-443c-b749-c3de83ff5f35
210,50.832233,96231,41.3245791339,af607445-37bd-4a8e-895d-ec33e8613947
211,57.884519,96232,53.0950901205,75b59d77-4b49-498a-976d-211c216abce6
212,57.884519,96233,53.0950901205,5e4fe926-820a-4748-82d1-1f07d69c1b0c
213,51.604676,96235,38.0330682876,5eb6f1f7-c399-47c1-9112-5acdeaeee4c2
214,49.696635,96236,42.3375879539,6c9ae689-8c2b-4504-887e-b0d961ec21f5
215,53.602073,96238,38.0330682876,0b24de3b-6334-44bf-98bf-771ac9f4b101
216,49.33626,96239,35.2815957668,5ce369df-8744-49a0-b53b-dd51976c28f4
217,51.549112,96243,46.4669440941,9218aafe-60a4-43b6-966e-0c42136c232c
218,54.37674,96245,41.6635995029,c95b8634-7248-484f-a4a7-a5f4241c7870
219,57.778517,96246,39.4650180915,fcf0b1b1-6044-4a2f-b863-09f8910844d6
220,54.175532,96247,37.0952066254,a1138c61-509d-4675-9514-8c2b98572192
221,54.343823,96248,39.4650180915,2f26e2d8-7450-48fd-9a11-cde34ff7554b
222,53.602073,96249,38.0330682876,daabb3fe-9c4c-4046-b8a2-a2cb7a70df9f
223,49.661567,96250,33.0356646408,47ab5c54-24be-45d7-9752-a906298c8cb4
224,53.602073,96251,38.0330682876,adfb34f5-7f7c-43bb-818c-36d09eb6db5e
225,53.602073,96252,38.0330682876,7b0e7fab-9ea2-465e-bcf9-9a356983af54
226,52.344516,96253,40.2234476386,81feb5e6-bc95-4974-b3b5-d38174ac82f8
227,52.344516,96254,40.2234476386,a719d2c7-747e-4f58-9300-3934007f8afa
228,59.146464,96256,49.0286774993,6ccf4edf-31b4-42e8-bf14-fc9cb801d370
229,59.146464,96257,49.0286774993,5a581b68-75e0-4069-a78d-5c7312ac8c85
230,52.618612,96258,35.1191064548,8ee83111-45b8-4156-8808-f8a26ea47906
231,59.146464,96260,52.7020926628,75283352-57f5-457e-b296-45241399c253
232,57.778517,96261,39.4650180915,3b057f73-7b89-4c5a-bfa3-bbd700b14669
233,57.778517,96262,39.4650180915,8d88a6fb-5ede-46d6-bffe-c29770551438
234,54.575848,96263,32.2130705003,49c14be0-10e7-4be6-b258-0eaaf90ecccc
235,49.075305,96264,46.4667301103,5df9aa3f-3aa8-48ff-814b-08d9e3ce4456
236,50.726449,96265,41.1784793537,db9da25b-fb0d-44f8-97e3-572764755f05
237,49.216926,96266,28.4556828507,8bbb59e2-78f2-4ed7-8932-033f8b3c941d
238,49.216926,96267,28.4556828507,42c03ef8-25ac-46d8-9562-86e5bf277463
239,60.994081,96268,48.4868926076,951ae430-b348-4108-bd96-dd2d9ea435dc
240,60.994081,96269,56.2209457154,2b0aee15-a7c5-4919-a610-e2a982085429
241,64.768235,96270,51.4701658066,45065128-3086-428f-a879-d60703162ed8
242,56.725619,96272,46.3371982175,5f39cf65-7a8f-41c9-967c-258a3772ead8
243,57.883323,96273,46.5833477392,9771a272-d08a-4737-a035-bdf200eea86d
244,53.633181,96274,39.1169284262,cfdb3c02-808d-4a7a-a7f1-d73b6c743f91
245,54.252364,96275,53.1405553668,e187b1bb-bd2a-4b96-b0b1-51e5544fc1e5
246,56.725619,96276,46.3371982175,264730e0-b7e6-4a0d-a5aa-4379e9ca2e50
247,56.725619,96277,46.3371982175,8c5087f4-7a9a-4dfc-a0d8-d4a5d132c71a
248,55.741159,96278,51.1684702549,e90c6262-f609-4dc9-9dfe-6103e71e58f2
249,51.549112,96279,39.2299970111,b3071889-9493-4fab-ae07-a42dfa911bbe
250,51.353604,96280,37.2391524577,b695357d-e095-4178-b3b4-10e43a89f5bc
251,51.353604,96281,37.2391524577,6a53bbde-7079-4743-84f1-828ffc767289
252,51.353604,96282,37.2391524577,feef3d4e-4a95-48b7-891e-4cb44cc1b01f
253,49.281595,96283,37.2391524577,bb3c10ea-babf-47e3-8d78-1a265a6752b6
254,55.767227,96284,45.6023620916,46c43f67-b8af-4694-9af5-d205b5e89249
255,49.281595,96285,37.2391524577,5acb82a1-df22-44d9-8a67-757fa3babecf
256,57.744017,96286,54.867704737,102c0464-40f5-407c-9404-754c6243e0ad
257,49.661567,96287,33.0356646408,1abd8de8-0298-4cc2-bf49-9f041a41f8da
258,54.726112,96288,57.4109044009,fe3c7456-3ee8-4a30-8ea1-68c2375de82c
259,56.742783,96289,54.7032743269,7db41b9e-6da8-4cec-a2d9-bd434fbb0b12
260,54.267267,96290,54.7032743269,904e30d5-f59b-4a43-bb87-9b9eb9d58a5f
261,56.769688,96292,47.7759059527,1099745a-12b6-42aa-9907-94815d0cb41e
262,56.769688,96294,47.7759059527,400f5c47-f8cd-404a-ab18-501db8db02ea
263,54.062479,96295,39.702314707,a40f149f-5f42-49f9-a72b-8eefea41c06d
264,59.419601,96296,60.6492358891,5b2e4015-2534-47f9-9d6f-cbeef45b08a4
265,56.250751,96297,47.7328019232,7d32d470-8599-4f64-98c2-a9a9fd8908fa
266,58.499514,96298,60.6831824462,ac348b8a-6594-4363-8257-866e18bc779f
267,59.419601,96299,60.6492358891,a0d5ec8d-1358-40c9-be52-3dd66127c05e
268,54.267267,96300,54.7032743269,14b14e37-addd-493e-a31f-fd22f228f307
269,54.267267,96301,54.7032743269,2e0f189b-aab6-44e8-acf1-d5827bc1aae7
270,56.903781,96303,57.895656236,8274a17d-00b9-4720-8ce4-507045a253cf
271,56.79017,96306,52.6092090659,484d9ce0-b1c0-4c4e-9243-58f4b174f054
272,58.829219,96307,59.7185222424,6f143dd1-8225-4829-aac2-e04cee3b365a
273,56.250751,96308,47.7328019232,89f904b4-c3cb-4742-b1b0-70e3141ddb84
274,56.353703,96311,59.7185222424,427d5eb8-d5b1-40e4-83d1-647bd45b61a6
275,46.814532,96312,,1f5f25d2-d1d8-40bd-8550-3548eebdba47
276,54.428265,96315,57.895656236,272c48ea-cf53-4b03-b8e8-5c155b1a9979
277,54.726112,96316,57.4109044009,34401a69-3bb3-4f31-b654-20467cef6a09
278,55.848491,96317,57.4109044009,744a2b86-3e93-456f-8485-1fdbb9d6cfeb
279,56.903781,96318,57.895656236,beeda37b-2c72-48ea-9438-8736c3028770
280,59.111622,96319,60.8278794327,076797d7-fbe4-47f9-8290-a6305a0ae925
281,54.062479,96320,39.702314707,34d4c53f-1d9e-4278-8a82-95949e8b3d69
282,53.07571,96321,46.4669440941,4a537e9b-1f58-45ce-9ac4-bc7ef041a259
283,59.525111,96325,60.6492358891,056b9ed8-cec3-49e7-9f8b-7ee4eeebf6c5
284,57.338111,96326,51.1023514485,ba76b3d8-4812-4a54-b3e4-d2dddda2f373
285,60.638169,96330,52.7020926628,474114b7-beac-403c-9250-0cf2d9a9e6cd
286,50.351562,96331,36.4562991542,5f4a3762-11ec-4418-b08a-3b53b889b00f
287,58.627798,96332,60.8278794327,a78640d3-1e90-41f9-9a87-2b3078c22a44
288,60.638169,96333,60.6492358891,1e0103b1-3c80-4da0-b0e5-7a57d2598b28
289,59.625129,96334,52.9396708399,b8696860-f2d4-4b32-afed-a6c8052eb120
290,38.769427,96335,38.0811195816,c6bf4770-de6c-4fd7-8a7d-d76d54e55641
291,48.910385,96336,27.784095188,20796b80-762a-419b-965b-3856209df718
292,37.369143,96337,46.328660309,0f943608-a6e5-4917-84f7-edfbf02f6340
