,Unnamed: 0,ID,Segment ID,Roadway Name,From,To,Direction,Date,sum,Full Name,Boroughs
73,73,2,70376,3 Avenue,East 155 Street,East 154 Street,SB,09/14/2014,5651.0,3 Avenue from East 155 Street to East 154 Street,West Bronx
74,74,56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,EB,09/14/2014,3618.0,Bedford Park Boulevard from Grand Concourse to Valentine Avenue,West Bronx
75,75,56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,WB,09/14/2014,3696.0,Bedford Park Boulevard from Grand Concourse to Valentine Avenue,West Bronx
76,76,62,147673,Broadway,West 242 Street,240 Street,SB,09/14/2014,11478.0,Broadway from West 242 Street to 240 Street,The Bronx
77,77,62,158447,Broadway,West 242 Street,240 Street,NB,09/14/2014,11478.0,Broadway from West 242 Street to 240 Street,The Bronx
78,78,62,255653,Broadway,West 242 Street,240 Street,SB,09/14/2014,3761.0,Broadway from West 242 Street to 240 Street,The Bronx
79,79,71,139620,Bronx River Parkway,Bronx River,East Gun Hill Road,NB,09/14/2014,41768.0,Bronx River Parkway from Bronx River to East Gun Hill Road,East Bronx
80,80,71,139618,Bronx River Parkway,East Gun Hill Road,Bronx River,SB,09/14/2014,34288.0,Bronx River Parkway from East Gun Hill Road to Bronx River,East Bronx
81,81,76,70364,Brook Avenue,East 152 Street,East 153 Street,SB,09/14/2014,2466.0,Brook Avenue from East 152 Street to East 153 Street,East 153rd Street
82,82,89,69780,East 138 Street,Canal Place,Rider Avenue,EB,09/14/2014,8461.0,East 138 Street from Canal Place to Rider Avenue,Canal Place
83,83,89,69780,East 138 Street,Rider Avenue,Canal Place,WB,09/14/2014,6895.0,East 138 Street from Rider Avenue to Canal Place,Canal Place
84,84,102,69979,Concourse Village West,East 156 Street,East 156 Street,NB,09/14/2014,2855.0,Concourse Village West from East 156 Street to East 156 Street,East 156th Street
85,85,104,9001519,Courtladt Avenue,East 153 Street,East 154 Street,NB,09/14/2014,2383.0,Courtladt Avenue from East 153 Street to East 154 Street,West Bronx
86,86,108,276970,East 144 Street,A J Griffin Place,Grand Concourse,WB,09/14/2014,2015.0,East 144 Street from A J Griffin Place to Grand Concourse,West Bronx
87,87,108,276970,East 144 Street,Grand Concourse,A J Griffin Place,EB,09/14/2014,2682.0,East 144 Street from Grand Concourse to A J Griffin Place,West Bronx
88,88,109,173496,East 149 Street,A J Griffin Place,Grand Concourse,WB,09/14/2014,9054.0,East 149 Street from A J Griffin Place to Grand Concourse,West Bronx
89,89,109,173496,East 149 Street,Grand Concourse,A J Griffin Place,EB,09/14/2014,10985.0,East 149 Street from Grand Concourse to A J Griffin Place,West Bronx
90,90,111,69836,East 149 Street,Morris Avenue,Park Avenue,WB,09/14/2014,9993.0,East 149 Street from Morris Avenue to Park Avenue,West Bronx
91,91,111,69836,East 149 Street,Park Avenue,Morris Avenue,EB,09/14/2014,7635.0,East 149 Street from Park Avenue to Morris Avenue,N/A
92,92,120,111919,Eastchester Road,East Gun Hill Road,Adee Avenue,NB,09/14/2014,4222.0,Eastchester Road from East Gun Hill Road to Adee Avenue,Pelham Gardens
93,93,120,111919,Eastchester Road,East Gun Hill Road,Adee Avenue,SB,09/14/2014,3324.0,Eastchester Road from East Gun Hill Road to Adee Avenue,Pelham Gardens
94,94,121,88518,Eastchester Road,Givan Avenue,Tillotson Avenue,NB,09/14/2014,5136.0,Eastchester Road from Givan Avenue to Tillotson Avenue,Laconia
95,95,121,88518,Eastchester Road,Givan Avenue,Tillotson Avenue,SB,09/14/2014,4042.0,Eastchester Road from Givan Avenue to Tillotson Avenue,Laconia
96,96,124,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,09/14/2014,14752.0,East 233 Street from Webster Avenue to Bronx River Parkway,East Bronx
97,97,124,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,09/14/2014,13853.0,East 233 Street from Webster Avenue to Bronx River Parkway,East Bronx
98,98,125,9014611,East Fordham Road,Southern Boulevard,Bronx River Parkway,EB,09/14/2014,29462.0,East Fordham Road from Southern Boulevard to Bronx River Parkway,The Bronx
99,99,125,9014615,East Fordham Road,Southern Boulevard,Bronx River Parkway,WB,09/14/2014,28457.0,East Fordham Road from Southern Boulevard to Bronx River Parkway,The Bronx
100,100,127,262252,East Mosholu Parkway,Grand Concourse,Van Courtlandt Avenue East,SB,09/14/2014,1674.0,East Mosholu Parkway from Grand Concourse to Van Courtlandt Avenue East,Van Cortlandt Park South
101,101,128,133710,East Tremont Avenue,Anthony Avenue,Monroe Avenue,EB,09/14/2014,3732.0,East Tremont Avenue from Anthony Avenue to Monroe Avenue,West Bronx
102,102,128,133711,East Tremont Avenue,Anthony Avenue,Monroe Avenue,WB,09/14/2014,4836.0,East Tremont Avenue from Anthony Avenue to Monroe Avenue,West Bronx
103,103,138,111203,Exterior Street,East 138 Street,East 135 Street,SB,09/14/2014,22156.0,Exterior Street from East 138 Street to East 135 Street,Manhattan
104,104,162,176277,Grand Concourse,184 Street,187 Street,NB,09/14/2014,7261.0,Grand Concourse from 184 Street to 187 Street,Fordham Heights
105,105,162,176277,Grand Concourse,184 Street,187 Street,SB,09/14/2014,7564.0,Grand Concourse from 184 Street to 187 Street,Fordham Heights
106,106,165,146046,Harlem River Driveway,Dyckman Street,Amsterdam Avenue,SB,09/14/2014,9716.0,Harlem River Driveway from Dyckman Street to Amsterdam Avenue,Harlem River Drive
107,107,165,155099,Harlem River Driveway,Dyckman Street,Amsterdam Avenue,NB,09/14/2014,9197.0,Harlem River Driveway from Dyckman Street to Amsterdam Avenue,Harlem River Drive
108,108,166,132490,Henry Hudson Parkway,Dyckman Street,Henry Hudson Bridge,SB,09/14/2014,28391.0,Henry Hudson Parkway from Dyckman Street to Henry Hudson Bridge,2152
109,109,166,189377,Henry Hudson Parkway,Dyckman Street,Henry Hudson Bridge,NB,09/14/2014,31232.0,Henry Hudson Parkway from Dyckman Street to Henry Hudson Bridge,2152
110,110,167,9008507,Henry Hudson Parkway,Netherland Avenue,Johnson Avenue,NB,09/14/2014,28137.0,Henry Hudson Parkway from Netherland Avenue to Johnson Avenue,Netherland Avenue
111,111,167,9008505,Henry Hudson Parkway,Netherland Avenue,Johnson Avenue,SB,09/14/2014,30511.0,Henry Hudson Parkway from Netherland Avenue to Johnson Avenue,Netherland Avenue
112,112,169,143872,Hutchinson River Parkway,Bartow Avenue,New England Thruway,SB,09/14/2014,43840.0,Hutchinson River Parkway from Bartow Avenue to New England Thruway,Bartow Avenue
113,113,169,143873,Hutchinson River Parkway,Bartow Avenue,New England Thruway,NB,09/14/2014,45032.0,Hutchinson River Parkway from Bartow Avenue to New England Thruway,Bartow Avenue
114,114,170,9008891,Hutchinson River Parkway,Boller Avenue,Einstein Loop SB,NB,09/14/2014,56802.0,Hutchinson River Parkway from Boller Avenue to Einstein Loop SB,East Bronx
115,115,170,9008895,Hutchinson River Parkway,Boller Avenue,Einstein Loop SB,SB,09/14/2014,59141.0,Hutchinson River Parkway from Boller Avenue to Einstein Loop SB,East Bronx
116,116,221,70220,Melrose Avenue,East 153 Street,East 154 Street,NB,09/14/2014,3668.0,Melrose Avenue from East 153 Street to East 154 Street,West Bronx
117,117,221,70220,Melrose Avenue,East 154 Street,East 153 Street,SB,09/14/2014,4933.0,Melrose Avenue from East 154 Street to East 153 Street,West Bronx
118,118,224,9003579,Morris Avenue,156 Street,Park Avenue,NB,09/14/2014,9941.0,Morris Avenue from 156 Street to Park Avenue,N/A
