Source,Address,County,Sector,Sub Sector,Total Emissions (MT CO2e),Biogenic CO2 (MT CO2),Fossil CO2 (MT CO2),Methane (MT CO2e),Nitrous Oxide (MT CO2e),Hydrofluorocarbons (MT CO2e),Perfluorocarbons (MT CO2e),Sulfur Hexafluoride (MT CO2e),Other (MT CO2e),Location,Point Size- Based on Total Emissions,Sector Number
Enwave - Seattle,"1319 Western Avenue Seattle, WA 98101",King,Power Plants,"Other Power, Heating, or Cooling Plants",72281,0,72206,34,41,0,0,0,0,"(47.6068, -122.340179)",2,8
ConAgra Foods Lamb Weston - Connell,"811 W. Gum St. Connell, WA 99326",Franklin,Food Production,Potato Products,35862,0,35825,17,20,0,0,0,0,"(46.651389, -118.871944)",2,2
H.W. Hill Landfill Gas Power Plant - Roosevelt,"502 Roosevelt Grade Road Roosevelt, WA 99356",Klickitat,Power Plants,"Other Power, Heating, or Cooling Plants",92771,92297,0,142,333,0,0,0,0,"(45.807765, -120.166354)",2,8
REG Grays Harbor LLC - Hoquiam,"3122 Port Industrial Road Hoquiam, WA 98550",Grays Harbor,Chemicals,Other Chemicals,17588,0,17570,8,10,0,0,0,0,"(46.968196, -123.853622)",1,1
TransAlta Centralia Generation LLC - Centralia,"913 Big Hanaford Road Centralia, WA 98531",Lewis,Power Plants,Coal Plants,6002805,0,5955750,17212,29844,0,0,0,0,"(46.7559, -122.8578)",5,8
CertainTeed Gypsum - Seattle,"5931 E. Marginal Way S. Seattle, WA 98134",King,Manufacturing,Gypsum Manufacturing,50452,0,50400,24,28,0,0,0,0,"(47.548056, -122.336944)",2,4
Avista Corporation - WA State DOE Reporting - statewide,"1411 E Mission Spokane, WA 99220-3727",Spokane,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,23757,0,19,15596,0,0,0,8142,0,"(47.673486, -117.388514)",1,7
Linear Technology  - Camas,"4200 NW Pacific Rim Blvd. Camas, WA 98607",Clark,Manufacturing,Electronics Manufacturing,22181,0,2010,1,1345,1902,13401,3071,451,"(45.598844, -122.45232)",1,4
"SEH America, Inc - Vancouver","4111 NE 112th Avenue Vancouver, WA 98682-6776",Clark,Manufacturing,Electronics Manufacturing,9859,0,9848,5,6,0,0,0,0,"(45.649912, -122.553612)",1,4
Hampton Lumber Mills Washington Inc. - Randle,"10166 US Highway 12 Randle, WA 98377",Lewis,Wood Products,Lumber Mills,64712,63859,0,123,730,0,0,0,0,"(46.533743, -121.917906)",2,12
Naval Base Kitsap Bangor - Silverdale,"1103 Hunley Road Silverdale, WA 98315",Kitsap,Government,National Security,21860,0,21834,11,15,0,0,0,0,"(47.699284, -122.696926)",1,3
Easterday Ranches South Feedlot - Kennewick,"152330 S. Nine Canyon Rd. Kennewick, WA 99337",Benton,Food Production,Cattle Feedlots,18863,0,2216,1291,15357,0,0,0,0,"(45.991872, -119.136497)",1,2
WaferTech LLC - Camas,"5509 NW Parker St Camas, WA 98607",Clark,Manufacturing,Electronics Manufacturing,112737,0,14080,7,7737,11232,30282,22424,26975,"(45.619569, -122.454955)",3,4
Cowlitz County Landfill - Longview,"85 Tennant Way Longview, WA 98632",Cowlitz,Waste,Municipal Landfills,25683,0,0,25683,0,0,0,0,0,"(46.107229, -122.905601)",2,11
Graymont Western US. Inc. - Tacoma,"1220 Alexander Avenue Tacoma, WA 98421",Pierce,Minerals,Lime Manufacturing,23,0,23,0,0,0,0,0,0,"(47.271365, -122.397262)",1,6
Cardinal FG Company - Winlock,"545 Avery Road West Winlock, WA 98596",Lewis,Minerals,Glass Production,107590,0,107513,35,42,0,0,0,0,"(46.544937, -122.926313)",3,6
Puget Sound Energy - Fredonia Generating Station - Mount Vernon,"13085 Ball Road Mount Vernon, WA 98273",Skagit,Power Plants,Natural Gas Turbine Plants,97134,0,97033,46,55,0,0,0,0,"(48.4553, -122.435)",2,8
Alon Asphalt Company - Seattle,"20555 Richmond Beach Drive NW Seattle, WA 98177",King,Petroleum and Natural Gas Systems,Other Petroleum and Natural Gas Systems,14818,0,14782,29,8,0,0,0,0,"(47.781642, -122.395299)",1,7
Simplot Feeders LTD. - Burbank,"13981 Dodd Road Burbank, WA 99323",Walla Walla,Food Production,Cattle Feedlots,28791,0,0,2077,26714,0,0,0,0,"(46.133131, -118.90629)",2,2
